date,price_eur_mwh,area
2024-01-01,65.50,Finland
2024-01-02,72.30,Finland
2024-01-03,58.90,Finland
2024-01-04,81.20,Finland
2024-01-05,69.75,Finland
2024-01-06,55.40,Finland
2024-01-07,62.10,Finland
2024-01-08,78.65,Finland
2024-01-09,71.25,Finland
2024-01-10,66.80,Finland
2024-01-11,89.45,Finland
2024-01-12,92.15,Finland
2024-01-13,67.30,Finland
2024-01-14,74.85,Finland
2024-01-15,61.20,Finland
2024-01-16,58.75,Finland
2024-01-17,83.40,Finland
2024-01-18,76.90,Finland
2024-01-19,68.55,Finland
2024-01-20,73.20,Finland
2024-01-21,79.80,Finland
2024-01-22,65.40,Finland
2024-01-23,70.15,Finland
2024-01-24,77.60,Finland
2024-01-25,84.25,Finland
2024-01-26,69.90,Finland
2024-01-27,62.75,Finland
2024-01-28,75.30,Finland
2024-01-29,68.45,Finland
2024-01-30,72.80,Finland
2024-01-31,66.15,Finland
2024-02-01,71.25,Finland
2024-02-02,78.90,Finland
2024-02-03,64.50,Finland
2024-02-04,69.75,Finland
2024-02-05,82.40,Finland
2024-02-06,76.15,Finland
2024-02-07,63.80,Finland
2024-02-08,70.45,Finland
2024-02-09,77.20,Finland
2024-02-10,65.90,Finland
2024-02-11,73.55,Finland
2024-02-12,68.30,Finland
2024-02-13,74.85,Finland
2024-02-14,80.20,Finland
2024-02-15,67.75,Finland
2024-02-16,72.40,Finland
2024-02-17,79.15,Finland
2024-02-18,66.50,Finland
2024-02-19,71.80,Finland
2024-02-20,75.25,Finland
2024-02-21,69.60,Finland
2024-02-22,64.95,Finland
2024-02-23,78.30,Finland
2024-02-24,73.85,Finland
2024-02-25,67.20,Finland
2024-02-26,74.55,Finland
2024-02-27,70.90,Finland
2024-02-28,66.25,Finland
2024-02-29,72.60,Finland
2024-03-01,68.95,Finland
2024-03-02,75.30,Finland
2024-03-03,71.65,Finland
2024-03-04,78.00,Finland
2024-03-05,64.35,Finland
2024-03-06,69.70,Finland
2024-03-07,76.05,Finland
2024-03-08,67.40,Finland
2024-03-09,73.75,Finland
2024-03-10,70.10,Finland
2024-03-11,66.45,Finland
2024-03-12,74.80,Finland
2024-03-13,71.15,Finland
2024-03-14,68.50,Finland
2024-03-15,75.85,Finland
2024-03-16,72.20,Finland
2024-03-17,69.55,Finland
2024-03-18,76.90,Finland
2024-03-19,65.25,Finland
2024-03-20,71.60,Finland
2024-03-21,68.95,Finland
2024-03-22,74.30,Finland
2024-03-23,70.65,Finland
2024-03-24,67.00,Finland
2024-03-25,73.35,Finland
2024-03-26,69.70,Finland
2024-03-27,76.05,Finland
2024-03-28,72.40,Finland
2024-03-29,68.75,Finland
2024-03-30,75.10,Finland
2024-03-31,71.45,Finland
